id,video_path,split,label,labels,duration_sec
Normal_Videos_360_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_360_x264.mp4,train,normal,normal,32.8000
Normal_Videos_246_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_246_x264.mp4,train,normal,normal,166.4333
Normal_Videos_417_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_417_x264.mp4,train,normal,normal,35.9000
Normal_Videos_576_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_576_x264.mp4,train,normal,normal,375.8333
Normal_Videos_345_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_345_x264.mp4,train,normal,normal,6.9667
Normal_Videos_310_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_310_x264.mp4,train,normal,normal,83.9333
Normal_Videos_401_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_401_x264.mp4,train,normal,normal,54.2000
Normal_Videos_312_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_312_x264.mp4,train,normal,normal,42.0333
Normal_Videos_352_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_352_x264.mp4,train,normal,normal,180.1000
Normal_Videos_365_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_365_x264.mp4,train,normal,normal,220.8667
Normal_Videos_050_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_050_x264.mp4,train,normal,normal,139.9333
Normal_Videos_317_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_317_x264.mp4,train,normal,normal,30.9667
Normal_Videos_453_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_453_x264.mp4,train,normal,normal,177.4000
Normal_Videos_247_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_247_x264.mp4,train,normal,normal,273.7000
Normal_Videos_289_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_289_x264.mp4,train,normal,normal,28.7667
Normal_Videos_100_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_100_x264.mp4,train,normal,normal,20.9000
Normal_Videos_478_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_478_x264.mp4,train,normal,normal,150.0667
Normal_Videos_360_x264__syn_violent_0,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_360_x264.mp4,train,violent,violent,32.8000
Normal_Videos_150_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_150_x264.mp4,val,normal,normal,28.8000
Normal_Videos_439_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_439_x264.mp4,val,normal,normal,140.8667
Normal_Videos_248_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_248_x264.mp4,val,normal,normal,38.0000
Normal_Videos_251_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_251_x264.mp4,val,normal,normal,13.5000
Normal_Videos_150_x264__syn_violent_0,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_150_x264.mp4,val,violent,violent,28.8000
Normal_Videos_015_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_015_x264.mp4,test,normal,normal,16.0000
Normal_Videos_129_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_129_x264.mp4,test,normal,normal,15.5667
Normal_Videos_452_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_452_x264.mp4,test,normal,normal,14.7667
Normal_Videos_015_x264__syn_violent_0,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_015_x264.mp4,test,violent,violent,16.0000
