id,video_path,split,label,labels,duration_sec
Normal_Videos_360_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_360_x264.mp4,train,normal,normal,32.8000
Normal_Videos_246_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_246_x264.mp4,train,normal,normal,166.4333
Normal_Videos_417_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_417_x264.mp4,train,normal,normal,35.9000
Normal_Videos_576_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_576_x264.mp4,train,normal,normal,375.8333
Normal_Videos_345_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_345_x264.mp4,train,normal,normal,6.9667
Normal_Videos_310_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_310_x264.mp4,train,normal,normal,83.9333
Normal_Videos_401_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_401_x264.mp4,train,normal,normal,54.2000
Normal_Videos_312_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_312_x264.mp4,train,normal,normal,42.0333
Normal_Videos_352_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_352_x264.mp4,train,normal,normal,180.1000
Normal_Videos_365_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_365_x264.mp4,train,normal,normal,220.8667
Normal_Videos_050_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_050_x264.mp4,train,normal,normal,139.9333
Normal_Videos_317_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_317_x264.mp4,train,normal,normal,30.9667
