id,video_path,split,label,labels,duration_sec
Normal_Videos_251_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_251_x264.mp4,train,normal,normal,13.5000
Normal_Videos_247_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_247_x264.mp4,train,robbery,robbery,273.7000
Normal_Videos_100_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_100_x264.mp4,train,fight,fight,20.9000
Normal_Videos_246_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_246_x264.mp4,train,normal,normal,166.4333
Normal_Videos_129_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_129_x264.mp4,train,robbery,robbery,15.5667
Normal_Videos_015_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_015_x264.mp4,val,fight,fight,16.0000
Normal_Videos_150_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_150_x264.mp4,val,normal,normal,28.8000
Normal_Videos_248_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_248_x264.mp4,train,robbery,robbery,38.0000
Normal_Videos_289_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_289_x264.mp4,train,fight,fight,28.7667
Normal_Videos_050_x264,/home/elio_samaha/X/transverse_project_idemia/Normal_Videos_for_Event_Recognition/Normal_Videos_for_Event_Recognition/Normal_Videos_050_x264.mp4,test,normal,normal,139.9333
